sentenceid,utterance,verb,embpred,embQ,embSubject,embTense,mood_indicative
010908.cha3329,mas é se calhar tem as unhinhas ainda compridas .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010908.cha5154,este tigre é muito giro „ não é Inês ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011016.cha1186,olha (.) ela disse é quia@q é quia@q para a aqui [?] (.) mas era não era Maria porque ela sabe dizer Maía@q .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011016.cha1632,+< está muito gelado (.) se calhar .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011016.cha1839,não deves ter feito mais nada .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011016.cha2055,olha (.) e conta lá à mãe (.) xxx a ver se agora te lembras +...,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011016.cha2258,ela ainda não está na fase de jogar ao faz_de_conta „ pois não ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011016.cha2906,foi ter com a tia .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011016.cha3402,dá à boneca .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011016.cha4687,olha já estou a ver aqui uma coisa que ainda não tinha visto .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011016.cha4971,xxx já parece que não te lembras quando é que ela +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011016.cha7450,olha (.) olha (.) apanha .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011016.cha7489,olha (.) não posso .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011107.cha659,+< anda cá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011107.cha3634,vou pôr (.) água fria .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011107.cha3833,ainda começas a boiar .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011107.cha4281,eu acho que está ali „ não é ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011107.cha4652,fazemos uma festa „ não é ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011107.cha4788,olha lá (.) ah (.) está mesmo mau mau mau .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011107.cha6318,a Maria está a dizer +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011107.cha6953,anda cá cortar a unha .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011107.cha7065,mostra .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011107.cha7359,olha (.) a Maria não chora .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011107.cha7540,estás com muitos dói-dóis „ é ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020014.cha897,ela hoje só diz pois é &=ri .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020014.cha3470,mas o xilofone faz muito barulho „ não é ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020014.cha4785,então conta lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020014.cha4936,depois [/] depois acordas a mãe e a mana (.) não achas Inês ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020014.cha5054,olha aqui a Minnie (.) eu estou a vê la .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020014.cha5904,estes são ratinhos .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020014.cha6225,não vês os outros .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020118.cha1555,eu depois digo te (.) porque é que eles choram (.) choram de frio (.) fome (.) xxx .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020118.cha1580,mas ela está muita [: muito] bonita (.) também .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020118.cha2533,agora não sai (.) era isso que ela estava a dizer ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020118.cha3595,ah (.) tem sono (.) acho .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020118.cha5016,está chochita .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020118.cha5430,ah (.) foi correr (.) com os sapatos novos .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020118.cha7958,diz olá à Mafalda .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020218.cha105,Inês (.) anda cá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020218.cha1856,+< olha (.) tiraste a fita (.) estava tão bonita .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020218.cha2355,a Inês está aí .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020218.cha5858,olha (.) já é minha outra vez .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020218.cha7329,&=ri a tua mãe está a descobrir .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha580,+< o meu irmão assim (.) ah tinha colegas meus na pré-primária que não sabiam as cores &=ri .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020322.cha1544,+< ah (.) ias tirar o tecto .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020322.cha2166,isso é o golfinho .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha2647,podia ser o Capuchinho Vermelho (.) se tivesse um capuchinho .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020322.cha2919,veio um caçador „ não foi ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha4500,então não quer não quer .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020322.cha6123,olha (.) está aqui [/] (.) aqui a tartaruga .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha6150,eu trouxe aqui a Inês para te ajudar !,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha7916,olha (.) a Ana Lúcia também sabe !,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020322.cha8626,já estamos em Junho .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020425.cha5117,realmente tem uns sapatos !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020425.cha6226,deixa me ver .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020425.cha6262,mas essa não é verde .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020425.cha6520,faltam duas .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020425.cha7199,então eu vou comprar uns óculos brancos „ é ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020425.cha7237,mas depois não me servem .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020425.cha7339,a Inês até põe os óculos na cabeça „ é ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020425.cha8445,põe lá ao colo da outra .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020523.cha1026,eca eca eca (.) gostas de todas !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020523.cha3618,ah o Batatoon não sei (.) pelos vis +...,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020523.cha4468,+< olha vais (.) escorregar .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020523.cha6436,+< xxx [//] (.) a Mafalda não está à vista .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020523.cha7105,isso é preto (.) isso é feio .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020523.cha7126,olha (.) não sei .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020523.cha8030,isso tem que sair um bocadinho .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020523.cha8730,sim <e a> [//] (.) sim a Inês adivinha (.) deixa cá ver .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020619.cha1160,ainda não fizeste foi outro „ pois não ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020619.cha1382,não queres ficar em trajes menores na gravação (.) eu posso desligar &=ri .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020619.cha2397,também gosto muito assim do gancho cor_de_rosa .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020619.cha2475,ponho o gancho no meu cabelo „ sim ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020619.cha2584,não (.) ela come (.) só que ela não é assim muito esfomeada „ não é (.) brinca um bocado com a comida .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020619.cha2769,vê lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020619.cha2898,puxa .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020619.cha3856,diz lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020619.cha4309,<ela está> [//] olha ela está a ler .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020619.cha6210,só que são mais moles .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020619.cha6446,ai@i tens aí uns às cores também muito giros !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020724.cha496,+< olha a Mafalda está muito interessada na história (.) já está a vir para aqui .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020724.cha975,já pode ir ao baile .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020724.cha1173,bem (.) eu agora não sei se posso mexer com a Mafalda .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020724.cha5347,vá (.) conta lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020724.cha6532,agora assoa sempre o nariz como os grandes .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020724.cha7248,como é que é (.) conta me lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020724.cha7444,anda cá (.) que a mãe está +...,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020724.cha7589,só que está toda suja (.) por acaso .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020724.cha7880,ai@i (.) eu não sei !,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020903.cha743,depois hoje pedes à mãe para pôr melhor (.) que não (es)tá muito bem posto .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020903.cha952,olha (.) é útil !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020903.cha2467,não sei (.) tu é que sabes .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020903.cha3112,consegues (.) consegues (.) pois é .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020903.cha4664,eu acho que +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020903.cha5126,então (.) olha (.) a [/] a Mafalda ajuda e leva aquela .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020903.cha5590,então (.) tu tinhas pedido um boneco ao pai-natal .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
021014.cha319,dá que eu apanho .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
021014.cha996,olha (.) a mãe sabe onde é que (es)tá .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
021014.cha1705,não (.) esse é um patinho (.) Inês &=ri .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
021014.cha2567,só quero animais azuis .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
021014.cha2766,<agora eu (es)tou a dizer> [//] agora vou dizer (.) eu só quero (.) animais castanhos .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
021014.cha3194,pois (.) talvez ele tam(b)ém vá jogar .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,FALSE
021014.cha3371,a Inês (es)tá a escolher as peças „ não é ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
021014.cha4613,depois a mana se vem falar connosco (.) olha (.) já não consigo .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
021014.cha5053,anda (.) vá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
021014.cha5227,hoje (es)tás pouco faladora .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
021014.cha6769,acha esta muita [: muito] gira „ não é ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010606.cha1611,hum@i (.) aleijou o meu bebé „ foi ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010606.cha2897,+< mostra lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha3298,mostra me o teu .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha3427,a João não sabe .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010606.cha3457,mostra lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha3665,eu sei que é +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010606.cha3934,mostra .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha4424,trouxe .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010606.cha4477,não (.) não vestimos .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010606.cha4571,olha para a Maria João (.) a Joãozinha .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha5330,então senta aí ao pé de mim .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha5689,olha para mim (.) olha .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010606.cha6971,eu seguro .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010606.cha7060,ó mãe (.) é capaz de ser o Mário (.) abra lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,FALSE
010606.cha8630,a João tira .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010702.cha364,estou a falar contigo (.) hã@i .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010702.cha971,eu vou à procura dos outros para ti (.) vá .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010702.cha1226,é muito linda !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010702.cha2228,portanto se a menina tem sede beba (.) está ?,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,FALSE
010702.cha2776,e agora queremos (.) já não sei o que é que lá está (.) xxx .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010702.cha3190,tu sabes que agora ela faz uma coisa João (.) muito feia (.) anda sempre com a língua de fora .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010702.cha4141,xxx está quieta Inê +...,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010702.cha4827,+< conta lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010702.cha5024,pede lá à mamã .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010702.cha5220,tu fazes +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010702.cha6067,estava em Paris „ não estava ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010702.cha6252,não (.) não é da mamã .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010702.cha7640,+< eu preciso é de +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010702.cha9022,então espera aí .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010702.cha9208,toma lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010802.cha2315,depois põe se a tampa (.) pois é (.) muito bem .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010802.cha2653,+< mas a nenê@f (.) é óptima (.) porque limpa tudo à mamã xxx .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010802.cha5283,olha (.) mas vamos para o quarto (.) vamos ?,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha1136,mas é muito bonita !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha1296,tens que dizer à mamã o que é que eu vou fazer .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha1794,mostra lá à João (.) mostra lá (.) o que é ?,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha1884,agora é o passatempo preferido dela xxx .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha1947,olha (.) vai lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha2164,não sei (.) ela xxx .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha2500,isto é um urso .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010919.cha2756,vê lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha3544,o [//] (.) és uma mentirosa .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha4081,eu acho que tu não chegas lá .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010919.cha4798,+< vá lá (.) vamos lá mostrar .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha5148,+< mostra .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha5347,dá (.) vá (.) mete na boca agora (.) mete .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha5441,mostra mais .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha5501,olha (.) <eu vou> [/] eu vou buscar .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010919.cha6670,anda cá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha10541,põe aqui .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha11803,sai me daí se faz favor .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010919.cha12000,nenê@f não gosto .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010919.cha12057,põe aqui .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011029.cha1896,é o crocodilo .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011029.cha2126,canta lá Inês .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011029.cha2349,+< isso são os palhaços .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011029.cha4877,+< não (.) agora é de dia (.) mas <a lua> [//] quando é que tu podes ver a lua ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011029.cha5365,ah (.) podia ser +/.,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
011029.cha6354,tu há bocadinho disseste tira João „ não foi ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
011029.cha7548,isto aqui (.) toma lá duas (.) olha (.) oferece uma à João .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
011029.cha8523,+< eu acho que isto era melhor para uma fralda para ela .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020110.cha1170,ah (.) agora vou provar .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020110.cha1407,+< eu acho que não .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
020110.cha8102,Inês (.) depois vais ter uma barriga muito grande !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020110.cha8245,deixa a João ver se ainda tem leite !,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020110.cha8500,então dá cá (.) que eu tiro .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020110.cha9836,não mas esta agora (.) tu estás [/] (.) estás lhe a perguntar muito xxx e o que viste e não sei quê (.) vi todos .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
020201.cha557,vá [/] (.) vá (.) diz à João (.) isto é +...,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
020201.cha900,ah (.) é o telefone (.) pois é .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
